"Kvartal";"Noterte aksjer";"Obligasjoner"
"4.kv. 2020";"19";"1,5"
"1.kv. 2021";"10,4";"3,4"
"2.kv. 2021";"6,4";"−2,1"
"3.kv. 2021";"4,2";"1,5"
"4.kv. 2021";"5,4";"1,3"
"1.kv. 2022";"9,3";"1,8"
"2.kv. 2022";"−5,7";"0,7"
"3.kv. 2022";"−6,6";"2"
"4.kv. 2022";"5,8";"0,9"
"1.kv. 2023";"−2,1";"4,3"
"2.kv. 2023";"−2,7";"−1,3"
"3.kv. 2023";"6,3";"1,6"
"4.kv. 2023";"0";"3"
"1.kv. 2024";"−0,8";"2,3"
"2.kv. 2024";"3,7";"2,6"
"3.kv. 2024";"−8,2";"2"
"4.kv. 2024";"−0,6";"3,5"
"1.kv. 2025";"4,5";"2"
"2.kv. 2025";"3,5";"0,7"
"3.kv. 2025";"−1,2";"2"
"4.kv. 2025";"1,4";"1,5"
