"Kvartal";"Markedsverdi"
"2015K4";"69 717"
"2016K1";"69 049"
"2016K2";"72 702"
"2016K3";"77 209"
"2016K4";"85 058"
"2017K1";"84 837"
"2017K2";"84 761"
"2017K3";"90 170"
"2017K4";"92 318"
"2018K1";"92 733"
"2018K2";"97 108"
"2018K3";"100 438"
"2018K4";"87 196"
"2019K1";"96 743"
"2019K2";"94 445"
"2019K3";"97 731"
"2019K4";"104 429"
"2020K1";"78 478"
"2020K2";"96 501"
"2020K3";"105 212"
"2020K4";"133 151"
"2021K1";"146 894"
"2021K2";"151 829"
"2021K3";"153 092"
"2021K4";"160 774"
"2022K1";"168 535"
"2022K2";"152 579"
"2022K3";"144 879"
"2022K4";"155 046"
"2023K1";"158 788"
"2023K2";"156 962"
"2023K3";"162 237"
"2023K4";"166 116"
"2024K1";"168 701"
"2024K2";"178 662"
"2024K3";"176 598"
"2024K4";"177 476"
"2025K1";"182 995"
"2025K2";"194 484"
"2025K3";"193 431"
"2025K4";"200 566"
